,X,r,E,M,rou,Er,Ea
168,0.11831248145414741,-0.1120764508571706,0.6827815876521943,0.9592467379206514,1.2596263849945633,0.56,1.15
173,-1.4911674935275439,-2.2325629010747554,-0.8286966251773267,-1.5621172616990089,-1.367387515128372,-0.51,0.26
174,-1.4911674935275439,-2.2325629010747554,-0.8286966251773267,-1.5621172616990089,-1.367387515128372,-0.73,0.3
175,-1.4911674935275439,-2.2325629010747554,-0.8286966251773267,-1.5621172616990089,-1.367387515128372,-0.1,0.59
176,-1.4911674935275439,-2.2325629010747554,-0.8286966251773267,-1.5621172616990089,-1.367387515128372,-0.42,0.63
177,-1.4911674935275439,-2.2325629010747554,-0.8286966251773267,-1.5621172616990089,-1.367387515128372,-0.02,0.66
178,-1.4911674935275439,-2.2325629010747554,-0.8286966251773267,-1.5621172616990089,-1.367387515128372,0.1,0.8
179,-1.4911674935275439,-2.2325629010747554,-0.8286966251773267,-1.5621172616990089,-1.367387515128372,-0.14,0.82
180,-1.4911674935275439,-2.2325629010747554,-0.8286966251773267,-1.5621172616990089,-1.367387515128372,0.17,0.87
181,-1.4911674935275439,-2.2325629010747554,-0.8286966251773267,-1.5621172616990089,-1.367387515128372,0.01,0.89
182,-1.4911674935275439,-2.2325629010747554,-0.8286966251773267,-1.5621172616990089,-1.367387515128372,0.3,1.07
183,-1.4911674935275439,-2.2325629010747554,-0.8286966251773267,-1.5621172616990089,-1.367387515128372,0.41,1.09
184,-1.4911674935275439,-2.2325629010747554,-0.8286966251773267,-1.5621172616990089,-1.367387515128372,0.75,1.26
185,-1.4911674935275439,-2.2325629010747554,-0.8286966251773267,-1.5621172616990089,-1.367387515128372,0.79,1.26
190,0.11831248145414741,0.0806950446171553,1.269763417877251,0.9973911377932616,1.230796118311915,-0.56,0.03
191,0.11831248145414741,0.0806950446171553,1.269763417877251,0.9973911377932616,1.230796118311915,-0.2,0.46
192,0.11831248145414741,0.0806950446171553,1.269763417877251,0.9973911377932616,1.230796118311915,-0.14,0.48
193,0.11831248145414741,0.0806950446171553,1.269763417877251,0.9973911377932616,1.230796118311915,0.07,0.5
194,0.11831248145414741,0.0806950446171553,1.269763417877251,0.9973911377932616,1.230796118311915,-0.18,0.5
195,0.11831248145414741,0.0806950446171553,1.269763417877251,0.9973911377932616,1.230796118311915,0.02,0.62
196,0.11831248145414741,0.0806950446171553,1.269763417877251,0.9973911377932616,1.230796118311915,0.2,0.62
197,0.11831248145414741,0.0806950446171553,1.269763417877251,0.9973911377932616,1.230796118311915,0.3,0.72
198,0.11831248145414741,0.0806950446171553,1.269763417877251,0.9973911377932616,1.230796118311915,0.09,0.8
199,0.11831248145414741,0.0806950446171553,1.269763417877251,0.9973911377932616,1.230796118311915,0.05,0.82
200,0.11831248145414741,0.0806950446171553,1.269763417877251,0.9973911377932616,1.230796118311915,0.43,1.02
201,0.11831248145414741,0.0806950446171553,1.269763417877251,0.9973911377932616,1.230796118311915,0.35,1.03
202,0.11831248145414741,0.0806950446171553,1.269763417877251,0.9973911377932616,1.230796118311915,0.39,1.07
