,金属1,占比1,金属1电负性,金属2,占比2,金属2电负性,非金属1,占比3,负载1,占比4,C2H6,C3H8,O2,保护气体,GHSV,温度,丙烷转化率,丙烯选择性
176,V,1.0,1.63,,,,BN,99.0,,,,2.44,2.44,95.12,18000.0,500,20.0,77.0
177,V,1.0,1.63,,,,BN,99.0,,,,2.44,2.44,95.12,18000.0,500,40.0,74.0
178,V,0.5,1.63,,,,BN,99.5,,,,2.44,2.44,95.12,18000.0,500,1.6,59.4
179,V,0.5,1.63,,,,BN,99.5,,,,2.44,2.44,95.12,18000.0,560,17.2,45.3
180,V,1.0,1.63,,,,,,Al2O3,99.0,,28.6,14.3,57.1,3600.0,400,3.0,80.0
181,V,1.0,1.63,,,,,,Al2O3,99.0,,28.6,14.3,57.1,3600.0,400,12.3,55.0
182,V,1.0,1.63,,,,,,TiO2,99.0,,28.6,14.3,57.1,3600.0,400,1.8,77.0
183,V,1.0,1.63,,,,,,TiO2,99.0,,28.6,14.3,57.1,3600.0,400,7.0,48.0
184,V,1.0,1.63,,,,,,CeO2,99.0,,28.6,14.3,57.1,3600.0,400,1.8,69.0
185,V,1.0,1.63,,,,,,CeO2,99.0,,28.6,14.3,57.1,3600.0,400,7.0,41.0
186,V,1.0,1.63,,,,,,SiO2,99.0,,28.6,14.3,57.1,3600.0,400,0.6,74.5
187,V,1.0,1.63,,,,,,SiO2,99.0,,28.6,14.3,57.1,3600.0,400,2.2,54.0
188,V,1.0,1.63,,,,,,ZrO2,99.0,,28.6,14.3,57.1,3600.0,400,1.9,40.0
189,V,1.0,1.63,,,,,,ZrO2,99.0,,28.6,14.3,57.1,3600.0,400,7.5,26.0
190,,,,,,,C,100.0,,,,16.7,16.7,66.6,3600.0,400,7.2,21.0
191,,,,,,,C,100.0,,,,16.7,16.7,66.6,3600.0,400,18.5,9.0
192,,,,,,,C,100.0,,,,16.7,16.7,66.6,3600.0,400,4.3,17.0
193,,,,,,,C,100.0,,,,16.7,16.7,66.6,3600.0,400,17.0,7.0
194,,,,,,,P,5.0,C,95.0,,16.7,16.7,66.6,3600.0,400,1.0,80.0
195,,,,,,,P,5.0,C,95.0,,16.7,16.7,66.6,3600.0,400,6.4,40.0
196,,,,,,,B2O3,5.0,C,95.0,,16.7,16.7,66.6,3600.0,400,0.8,85.0
197,,,,,,,B2O3,5.0,C,95.0,,16.7,16.7,66.6,3600.0,400,7.4,50.0
198,,,,,,,B2O3,2.45,C,97.55,,16.7,16.7,66.6,3600.0,400,1.5,75.0
199,,,,,,,B2O3,2.45,C,97.55,,16.7,16.7,66.6,3600.0,400,10.3,46.0
200,,,,,,,B,1.61,S-1,98.39,,10.0,10.0,80.0,3600.0,460,5.3,60.9
201,,,,,,,B,100.0,,,,10.0,10.0,80.0,3600.0,560,41.4,54.9
202,,,,,,,B,100.0,,,,10.0,10.0,80.0,3600.0,460,2.0,60.0
203,,,,,,,B,2.0,S-1,98.0,,10.0,10.0,80.0,3600.0,560,31.0,55.0
204,,,,,,,B,2.0,S-1,98.0,,10.0,10.0,80.0,3600.0,460,3.0,68.0
205,,,,,,,BN,100.0,,,,10.0,10.0,80.0,3600.0,560,40.2,47.0
206,,,,,,,B,1.52,SiO2,98.49,,10.0,10.0,80.0,3600.0,560,16.0,42.0
207,,,,,,,B,100.0,,,,2.44,2.44,95.12,115200.0,445,18.0,60.3
208,,,,,,,B,100.0,,,,2.44,2.44,95.12,115200.0,455,14.8,63.1
209,,,,,,,B,100.0,,,,2.44,2.44,95.12,115200.0,545,13.3,64.5
210,,,,,,,B,100.0,,,,2.44,2.44,95.12,115200.0,550,1.4,83.6
211,,,,,,,BN,13.7,SiO2,86.3,,16.7,16.7,66.6,3600.0,490,25.5,60.0
212,,,,,,,B2O3,10.0,SiO2,90.0,,16.7,16.7,66.6,3600.0,490,24.7,17.9
213,,,,,,,BN,100.0,,,,16.7,16.7,66.6,21600.0,450,5.0,89.0
214,,,,,,,BN,100.0,,,,16.7,16.7,66.6,21600.0,490,21.0,78.0
215,,,,,,,BN,100.0,,,,16.7,16.7,66.6,21600.0,490,20.0,78.0
216,,,,,,,BN,100.0,,,,16.7,16.7,66.6,21600.0,510,58.0,48.0
217,,,,,,,BN,100.0,,,,16.7,16.7,66.6,21600.0,510,50.2,48.0
218,,,,,,,BN,100.0,,,,16.7,16.7,66.6,27428.688073394496,510,49.5,42.0
219,,,,,,,B,2.48,SiO2,97.52,,16.7,25.2,58.1,14328.0,500,3.9,83.6
220,,,,,,,B,2.48,SiO2,97.52,,16.7,25.2,58.1,14328.0,540,29.8,71.0
221,,,,,,,B2O3,6.0,SiO2,94.0,,25.0,25.0,50.0,27428.688073394496,535,10.4,82.8
222,,,,,,,B2O3,6.0,SiO2,94.0,,25.0,25.0,50.0,27428.688073394496,545,19.2,74.5
223,,,,,,,B2O3,6.0,SiO2,94.0,,25.0,25.0,50.0,27428.688073394496,520,2.7,85.0
224,,,,,,,B2O3,6.0,SiO2,94.0,,25.0,25.0,50.0,27428.688073394496,520,2.2,92.0
225,,,,,,,B2O3,6.0,SiO2,94.0,,25.0,25.0,50.0,27428.688073394496,520,2.0,91.0
226,,,,,,,B2O3,6.0,SBA-15,94.0,,25.0,25.0,50.0,27428.688073394496,520,2.4,86.0
