,Na,V,Li,K,Mo,MCM,ZrO2,SBA-15,MCF,SBA-16,MgO,MCM-41,CeO2,Nb2O5,Al2O3,HMS,SiO2,TiO2,C2H6,C3H8,O2,保护气体,形态,GHSV,温度,Con,Sel
94,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,13.3,6.7,80.0,2,22828.986301369863,380,3.7,72.0
95,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,13.3,6.7,80.0,2,22828.986301369863,380,2.0,73.0
96,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,13.3,6.7,80.0,2,22828.986301369863,380,2.75,67.0
97,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,13.3,6.7,80.0,2,22828.986301369863,380,3.45,62.5
98,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,16.66,8.33,75.0,2,22828.986301369863,500,3.3,72.0
99,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.2,0.0,0.0,0.0,0.0,16.66,8.33,75.0,2,22828.986301369863,500,3.2,73.0
100,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66,8.33,75.0,2,22828.986301369863,500,4.2,31.0
101,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,16.66,8.33,75.0,2,22828.986301369863,500,5.1,30.0
102,0.0,5.3,0.0,0.0,0.0,0.0,94.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66,8.33,75.0,2,22828.986301369863,500,2.5,46.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,85.0,2,22828.986301369863,500,1.5,11.4
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12.5,12.5,85.0,2,22828.986301369863,500,2.5,41.2
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.5,12.5,85.0,2,22828.986301369863,500,6.9,45.4
106,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,85.0,2,22828.986301369863,500,4.5,10.1
107,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,85.0,2,22828.986301369863,500,12.9,33.2
108,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,85.0,2,22828.986301369863,550,25.6,24.8
109,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,12.5,12.5,85.0,2,22828.986301369863,450,7.97,59.5
110,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,12.5,12.5,85.0,2,22828.986301369863,500,20.3,39.8
111,0.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.13,0.0,12.5,12.5,85.0,2,22828.986301369863,450,16.9,35.0
112,0.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.13,0.0,12.5,12.5,85.0,2,22828.986301369863,500,30.4,22.8
113,0.0,3.96,0.0,0.0,0.0,0.0,96.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,85.0,2,22828.986301369863,450,26.2,20.3
114,0.0,3.96,0.0,0.0,0.0,0.0,96.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,85.0,2,22828.986301369863,500,33.1,17.1
115,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,12.5,12.5,85.0,2,22828.986301369863,450,13.7,49.7
116,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,12.5,12.5,85.0,2,22828.986301369863,500,30.8,28.8
117,0.0,4.05,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.785,0.0,0.0,0.0,0.0,12.5,12.5,85.0,2,22828.986301369863,450,7.5,73.7
118,0.0,4.05,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.785,0.0,0.0,0.0,0.0,12.5,12.5,85.0,2,22828.986301369863,500,23.9,49.6
119,0.32,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.55000000000001,0.0,0.0,0.0,0.0,12.5,12.5,85.0,2,22828.986301369863,450,6.2,77.3
120,0.32,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.55000000000001,0.0,0.0,0.0,0.0,12.5,12.5,85.0,2,22828.986301369863,500,20.2,50.7
121,0.0,4.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.4,0.0,0.0,0.0,0.0,12.5,12.5,85.0,2,22828.986301369863,450,5.7,80.2
122,0.0,4.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.4,0.0,0.0,0.0,0.0,12.5,12.5,85.0,2,22828.986301369863,500,16.9,57.2
123,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,4.7,4.7,90.6,2,22828.986301369863,500,5.0,30.0
